Date,Open,High,Low,Close,Adj Close,Volume
02-01-2018,1053.02002,1075.97998,1053.02002,1073.209961,1073.209961,1588300
03-01-2018,1073.930054,1096.099976,1073.430054,1091.52002,1091.52002,1565900
04-01-2018,1097.089966,1104.079956,1094.26001,1095.76001,1095.76001,1302600
05-01-2018,1103.449951,1113.579956,1101.800049,1110.290039,1110.290039,1512500
08-01-2018,1111,1119.160034,1110,1114.209961,1114.209961,1232200
09-01-2018,1118.439941,1118.439941,1108.199951,1112.790039,1112.790039,1340400
10-01-2018,1107,1112.780029,1103.97998,1110.140015,1110.140015,1036700
11-01-2018,1112.310059,1114.849976,1106.47998,1112.050049,1112.050049,1121200
12-01-2018,1110.099976,1131.300049,1108.01001,1130.650024,1130.650024,1929300
16-01-2018,1140.310059,1148.880005,1126.660034,1130.699951,1130.699951,1823100
17-01-2018,1136.359985,1139.319946,1123.48999,1139.099976,1139.099976,1391500
18-01-2018,1139.349976,1140.589966,1124.459961,1135.969971,1135.969971,1374900
19-01-2018,1138.030029,1143.780029,1132.5,1143.5,1143.5,1527600
22-01-2018,1143.819946,1166.880005,1141.819946,1164.160034,1164.160034,1477500
23-01-2018,1170.619995,1178.51001,1167.25,1176.170044,1176.170044,1956900
24-01-2018,1184.97998,1187.050049,1167.400024,1171.290039,1171.290039,1856400
25-01-2018,1180.709961,1185,1171.839966,1182.140015,1182.140015,1499200
26-01-2018,1187.530029,1187.560059,1168.030029,1187.560059,1187.560059,2108500
29-01-2018,1188,1198,1184.060059,1186.47998,1186.47998,1574700
30-01-2018,1177.719971,1187.930054,1174.51001,1177.369995,1177.369995,1866900
31-01-2018,1183.810059,1186.319946,1172.099976,1182.219971,1182.219971,1801100
01-02-2018,1175.98999,1187.449951,1169.359985,1181.589966,1181.589966,3675700
02-02-2018,1127.420044,1131.300049,1111.170044,1119.199951,1119.199951,5892100
05-02-2018,1100.609985,1114.98999,1056.73999,1062.390015,1062.390015,4177500
06-02-2018,1033.97998,1087.380005,1030.01001,1084.430054,1084.430054,3831500
07-02-2018,1084.969971,1086.530029,1054.619995,1055.410034,1055.410034,2597100
08-02-2018,1059.869995,1063.930054,1004.700012,1007.710022,1007.710022,3339600
09-02-2018,1025.880005,1051.719971,997,1046.27002,1046.27002,4918000
12-02-2018,1056.670044,1065.569946,1045.48999,1054.560059,1054.560059,2812000
13-02-2018,1050,1061.219971,1046.920044,1054.140015,1054.140015,1579300
14-02-2018,1054.319946,1075.469971,1049.800049,1072.699951,1072.699951,2065200
15-02-2018,1083.449951,1094.099976,1067.22998,1091.359985,1091.359985,1869800
16-02-2018,1093.380005,1108.310059,1091.550049,1095.5,1095.5,1997400
20-02-2018,1092.76001,1116.290039,1090,1103.589966,1103.589966,1687700
21-02-2018,1109.099976,1136.199951,1107.51001,1113.75,1113.75,2074300
22-02-2018,1119.170044,1125.459961,1105.150024,1109.900024,1109.900024,1400500
23-02-2018,1118.660034,1129,1108.439941,1128.089966,1128.089966,1264600
26-02-2018,1131.859985,1144.199951,1129.339966,1143.699951,1143.699951,1545600
27-02-2018,1143.699951,1144.25,1116.790039,1117.51001,1117.51001,2148200
28-02-2018,1122,1127.650024,1103,1103.920044,1103.920044,2464600
01-03-2018,1109.540039,1111.27002,1067.290039,1071.410034,1071.410034,2766900
02-03-2018,1057.97998,1086.890015,1050.109985,1084.140015,1084.140015,2508100
05-03-2018,1078.130005,1101.180054,1072.27002,1094.76001,1094.76001,1432400
06-03-2018,1102.099976,1105.630005,1094.5,1100.900024,1100.900024,1169100
07-03-2018,1092.819946,1116.199951,1089.910034,1115.040039,1115.040039,1537400
08-03-2018,1117.199951,1131.439941,1117.199951,1129.380005,1129.380005,1693100
09-03-2018,1139.5,1161,1134.290039,1160.839966,1160.839966,2133100
12-03-2018,1165.050049,1178.160034,1159.199951,1165.930054,1165.930054,2215300
13-03-2018,1171.829956,1178,1134.569946,1139.910034,1139.910034,2157000
14-03-2018,1145.800049,1159.76001,1142.349976,1148.890015,1148.890015,2093500
15-03-2018,1149.569946,1162.5,1135.660034,1150.609985,1150.609985,1669100
16-03-2018,1155.349976,1156.810059,1131.359985,1134.420044,1134.420044,2932800
19-03-2018,1117.76001,1119.369995,1088.920044,1100.069946,1100.069946,3182800
20-03-2018,1098.400024,1105.550049,1082.420044,1095.800049,1095.800049,2729900
21-03-2018,1092.569946,1108.699951,1087.209961,1094,1094,2244900
22-03-2018,1080.01001,1083.920044,1049.640015,1053.150024,1053.150024,3465600
23-03-2018,1051.369995,1066.780029,1024.869995,1026.550049,1026.550049,2494000
26-03-2018,1050.599976,1059.27002,1010.580017,1054.089966,1054.089966,3299200
27-03-2018,1063.900024,1064.540039,997.619995,1006.940002,1006.940002,3040800
28-03-2018,1001.909973,1024.98999,984,1005.179993,1005.179993,3884900
29-03-2018,1011.210022,1048.050049,1004.039978,1037.140015,1037.140015,3466900
02-04-2018,1027.619995,1039.530029,994.25,1012.630005,1012.630005,3253400
03-04-2018,1016.150024,1025,997.25,1018.679993,1018.679993,2566100
04-04-2018,998.22998,1032.73999,996.51001,1029.709961,1029.709961,2536200
05-04-2018,1046.390015,1046.709961,1024,1032.640015,1032.640015,1791800
06-04-2018,1023.099976,1036,1006.25,1009.950012,1009.950012,2006700
09-04-2018,1020.039978,1044.589966,1019.200012,1020.090027,1020.090027,1661000
10-04-2018,1030.26001,1041.209961,1015.409973,1036.5,1036.5,1831000
11-04-2018,1032,1035.869995,1019.200012,1025.060059,1025.060059,1703000
12-04-2018,1031.469971,1044.650024,1026.050049,1037.290039,1037.290039,1644800
13-04-2018,1046.890015,1052.97998,1030.150024,1036.040039,1036.040039,1270500
16-04-2018,1045.550049,1051.430054,1033.920044,1046.099976,1046.099976,1488800
17-04-2018,1061.199951,1085,1057.089966,1079.359985,1079.359985,2729200
18-04-2018,1079.01001,1082,1070.52002,1075.390015,1075.390015,1556300
19-04-2018,1069.02002,1097.51001,1069.02002,1089.449951,1089.449951,1994200
20-04-2018,1084.27002,1094.75,1072.099976,1077.319946,1077.319946,2121700
23-04-2018,1082.97998,1088,1066.680054,1073.810059,1073.810059,3479500
24-04-2018,1059.199951,1064.48999,1012.859985,1022.640015,1022.640015,6411000
25-04-2018,1029.75,1036.069946,1017.01001,1022.98999,1022.98999,2893000
26-04-2018,1033.219971,1052.02002,1020.450012,1043.310059,1043.310059,2546300
27-04-2018,1045.540039,1051.699951,1027.589966,1031.449951,1031.449951,2037300
30-04-2018,1034.420044,1038.369995,1018.299988,1018.580017,1018.580017,1724600
01-05-2018,1016.299988,1041.72998,1010.609985,1040.75,1040.75,1766300
02-05-2018,1034,1043.97998,1023.159973,1026.050049,1026.050049,1734900
03-05-2018,1025.369995,1030.689941,1007.890015,1026.300049,1026.300049,1964100
04-05-2018,1019.609985,1051.880005,1018.049988,1051,1051,1844600
07-05-2018,1053.890015,1065,1050.27002,1059.459961,1059.459961,1720000
08-05-2018,1064.619995,1065.22998,1051.640015,1058.589966,1058.589966,1301500
09-05-2018,1064.099976,1094,1062.109985,1088.949951,1088.949951,2358000
10-05-2018,1095,1109.410034,1093.880005,1105.469971,1105.469971,1820700
11-05-2018,1100.410034,1109.01001,1097.219971,1103.380005,1103.380005,1525200
14-05-2018,1105.569946,1118.150024,1104.800049,1106.599976,1106.599976,1966900
15-05-2018,1096.900024,1099.119995,1078.780029,1084.869995,1084.869995,1786900
16-05-2018,1085.089966,1094.380005,1081.630005,1084.089966,1084.089966,1281400
17-05-2018,1081.459961,1091,1076.420044,1081.26001,1081.26001,1286900
18-05-2018,1066,1073.72998,1064.680054,1069.640015,1069.640015,1774100
21-05-2018,1079,1093.300049,1078,1084.01001,1084.01001,1259000
22-05-2018,1089.800049,1091.800049,1072.26001,1075.310059,1075.310059,1111300
23-05-2018,1070,1088,1066.959961,1085.959961,1085.959961,1187000
24-05-2018,1086.900024,1087.119995,1072.300049,1085.449951,1085.449951,1030200
25-05-2018,1086.550049,1089.569946,1082.599976,1084.079956,1084.079956,1111200
29-05-2018,1076,1081.339966,1063.079956,1068.069946,1068.069946,1803800
30-05-2018,1073.47998,1078.98999,1066.550049,1077.469971,1077.469971,1434300
31-05-2018,1082,1110,1078,1100,1100,3968400
01-06-2018,1112.869995,1138.160034,1112.01001,1135,1135,3160100
04-06-2018,1138.5,1157.859985,1137,1153.040039,1153.040039,2237700
05-06-2018,1154.660034,1161.099976,1147.459961,1151.02002,1151.02002,1648200
06-06-2018,1152.77002,1154.709961,1136.319946,1146.949951,1146.949951,1746700
07-06-2018,1144.579956,1145.869995,1126.119995,1134.420044,1134.420044,1805400
08-06-2018,1131.209961,1138.780029,1123.22998,1132.709961,1132.709961,1364200
11-06-2018,1132.939941,1147.73999,1131.400024,1140.900024,1140.900024,1239800
12-06-2018,1141.02002,1148.75,1141.02002,1148.189941,1148.189941,1304600
13-06-2018,1152.280029,1155.640015,1143.380005,1144.22998,1144.22998,1715100
14-06-2018,1152.209961,1165.98999,1150.599976,1160.109985,1160.109985,1771100
15-06-2018,1159.920044,1163.910034,1153.689941,1159.27002,1159.27002,2221900
18-06-2018,1152.689941,1184.130005,1151,1183.579956,1183.579956,1651900
19-06-2018,1170.109985,1182.810059,1161.609985,1178.689941,1178.689941,2364100
20-06-2018,1183.300049,1201.48999,1182.030029,1184.069946,1184.069946,2584300
21-06-2018,1185.51001,1190.329956,1163.47998,1169.439941,1169.439941,2248300
22-06-2018,1171.48999,1175,1159.650024,1169.290039,1169.290039,1711000
25-06-2018,1155,1155.98999,1119.900024,1139.280029,1139.280029,2884100
26-06-2018,1144.140015,1146.869995,1129,1132.619995,1132.619995,1734400
27-06-2018,1136,1146.209961,1116.699951,1116.939941,1116.939941,1726900
28-06-2018,1112.390015,1134,1106.069946,1126.780029,1126.780029,1486300
29-06-2018,1132.310059,1141.359985,1127.02002,1129.189941,1129.189941,1578100
02-07-2018,1115.349976,1142.98999,1106.599976,1142.109985,1142.109985,1160800
03-07-2018,1149.420044,1149.910034,1114.430054,1116.280029,1116.280029,822400
05-07-2018,1124.599976,1144.140015,1123.119995,1141.290039,1141.290039,1429700
06-07-2018,1141.77002,1156.199951,1137.23999,1155.079956,1155.079956,1091000
09-07-2018,1160,1167.930054,1157.22998,1167.280029,1167.280029,1079200
10-07-2018,1169.98999,1173.5,1162.560059,1167.140015,1167.140015,1066700
11-07-2018,1155.619995,1180.439941,1155.369995,1171.459961,1171.459961,1662600
12-07-2018,1174.859985,1201.98999,1173.099976,1201.26001,1201.26001,2207400
13-07-2018,1202.800049,1210.439941,1195.290039,1204.420044,1204.420044,1630600
16-07-2018,1203.810059,1208.709961,1193.400024,1196.51001,1196.51001,1339200
17-07-2018,1182.73999,1218.76001,1182,1213.079956,1213.079956,2008100
18-07-2018,1208.530029,1221.589966,1204.560059,1212.910034,1212.910034,1947400
19-07-2018,1206.650024,1216.47998,1197.72998,1199.099976,1199.099976,1916900
20-07-2018,1199.23999,1210.77002,1196.589966,1197.880005,1197.880005,1896900
23-07-2018,1195.660034,1215.099976,1192.01001,1211,1211,3272300
24-07-2018,1271,1275,1244.140015,1258.150024,1258.150024,5380000
25-07-2018,1252.619995,1278.23999,1249.050049,1275.939941,1275.939941,2555200
26-07-2018,1267.180054,1287.400024,1263,1285.5,1285.5,2734300
27-07-2018,1289.119995,1291.439941,1244.48999,1252.890015,1252.890015,2418100
30-07-2018,1245.050049,1252.890015,1224.170044,1230.040039,1230.040039,2194800
31-07-2018,1231.709961,1241.209961,1216.189941,1227.219971,1227.219971,1969100
01-08-2018,1239.109985,1245.900024,1224.939941,1232.98999,1232.98999,1849700
02-08-2018,1218.5,1244.410034,1218.060059,1241.130005,1241.130005,1735200
03-08-2018,1245.180054,1246.52002,1229.420044,1238.160034,1238.160034,1063200
06-08-2018,1241.609985,1242.459961,1230.530029,1237.670044,1237.670044,1105700
07-08-2018,1252.01001,1266.079956,1251.800049,1255.839966,1255.839966,2125300
08-08-2018,1256.719971,1271.719971,1252.119995,1261.329956,1261.329956,1717200
09-08-2018,1262.72998,1271.959961,1260.099976,1264.459961,1264.459961,1366300
10-08-2018,1259.180054,1261.199951,1247.160034,1252.51001,1252.51001,1330100
13-08-2018,1251.199951,1265.969971,1247.030029,1248.640015,1248.640015,1375000
14-08-2018,1252.5,1260.589966,1239.540039,1258.140015,1258.140015,1404000
15-08-2018,1244.280029,1251.97998,1226.23999,1232.219971,1232.219971,1852600
16-08-2018,1241.98999,1243.699951,1219.630005,1224.060059,1224.060059,1608800
17-08-2018,1222.040039,1226.949951,1204,1215.849976,1215.849976,1654600
20-08-2018,1220.660034,1225.910034,1208.699951,1221.949951,1221.949951,1110900
21-08-2018,1223.02002,1232.76001,1215.030029,1217.410034,1217.410034,1154100
22-08-2018,1214.219971,1226.530029,1213.219971,1221.75,1221.75,1114800
23-08-2018,1219.880005,1235.170044,1219.349976,1221.160034,1221.160034,1233300
24-08-2018,1226,1237.400024,1221.420044,1236.75,1236.75,1222700
27-08-2018,1244.140015,1257.869995,1240.680054,1256.27002,1256.27002,1429000
28-08-2018,1255.900024,1256.560059,1242.969971,1245.859985,1245.859985,1366500
29-08-2018,1255,1267.170044,1252.800049,1264.650024,1264.650024,1846300
30-08-2018,1263.400024,1269.48999,1247.209961,1254.439941,1254.439941,1505200
31-08-2018,1252.209961,1252.550049,1225.75,1231.800049,1231.800049,2115400
04-09-2018,1222.52002,1227.869995,1206.560059,1211.310059,1211.310059,2072900
05-09-2018,1209.219971,1214.869995,1175.339966,1199.099976,1199.099976,2699400
06-09-2018,1198.569946,1198.98999,1163.609985,1183.98999,1183.98999,2342700
07-09-2018,1172,1188.550049,1169.27002,1177.589966,1177.589966,1632900
10-09-2018,1184.199951,1186.660034,1170.609985,1175.060059,1175.060059,1383500
11-09-2018,1171.099976,1190.939941,1165.949951,1189.98999,1189.98999,1462700
12-09-2018,1182,1190.689941,1166.160034,1171.599976,1171.599976,1785800
13-09-2018,1179.699951,1187.859985,1169.219971,1182.140015,1182.140015,2003400
14-09-2018,1188,1188,1173.52002,1177.97998,1177.97998,1208800
17-09-2018,1177.77002,1181.819946,1158.459961,1159.829956,1159.829956,1704800
18-09-2018,1162.660034,1181.329956,1161.430054,1167.109985,1167.109985,1615700
19-09-2018,1168.959961,1176.27002,1158.619995,1174.27002,1174.27002,1298100
20-09-2018,1180.670044,1194,1176.25,1191.569946,1191.569946,1462200
21-09-2018,1194.920044,1196.579956,1172.060059,1172.119995,1172.119995,4561100
24-09-2018,1159.410034,1185.189941,1151.5,1179.560059,1179.560059,1557500
25-09-2018,1184.25,1196.859985,1174.089966,1193.890015,1193.890015,1657600
26-09-2018,1193.689941,1207.23999,1185.400024,1194.060059,1194.060059,1882500
27-09-2018,1200,1216.859985,1198.050049,1207.359985,1207.359985,1813700
28-09-2018,1204.089966,1208.449951,1197.829956,1207.079956,1207.079956,1780600
01-10-2018,1213,1224.199951,1203.189941,1208.530029,1208.530029,1658200
02-10-2018,1206.670044,1224.52002,1199.660034,1207.640015,1207.640015,2009000
03-10-2018,1212,1214.180054,1202.150024,1211.530029,1211.530029,1312300
04-10-2018,1205.030029,1205.900024,1163.849976,1177.069946,1177.069946,2328800
05-10-2018,1176,1182,1154.319946,1167.829956,1167.829956,1592600
08-10-2018,1160,1175.859985,1135.400024,1155.920044,1155.920044,2309500
09-10-2018,1151.310059,1161.550049,1144.170044,1145.170044,1145.170044,1684500
10-10-2018,1136.400024,1137.02002,1091.51001,1092.160034,1092.160034,2949000
11-10-2018,1079.040039,1116.060059,1075.890015,1090.73999,1090.73999,3384800
12-10-2018,1119.640015,1125.829956,1095.030029,1120.540039,1120.540039,2468500
15-10-2018,1118,1121.800049,1098.219971,1102.439941,1102.439941,1503700
16-10-2018,1113.47998,1136.369995,1111.75,1133.079956,1133.079956,1918900
17-10-2018,1140,1147,1114,1127.589966,1127.589966,1782600
18-10-2018,1130,1132.349976,1086.339966,1097.910034,1097.910034,2307600
19-10-2018,1103.709961,1120.949951,1097.030029,1105.180054,1105.180054,2064300
22-10-2018,1112.51001,1121.689941,1100,1111.369995,1111.369995,1355800
23-10-2018,1091.290039,1118,1079.01001,1114.910034,1114.910034,1884300
24-10-2018,1115,1116.619995,1055.060059,1057.119995,1057.119995,2464300
25-10-2018,1080.300049,1117.819946,1075.550049,1103.589966,1103.589966,3647800
26-10-2018,1048.329956,1117,1042.22998,1083.75,1083.75,5321900
29-10-2018,1096.540039,1108.829956,1007.200012,1034.72998,1034.72998,4064500
30-10-2018,1020.01001,1050.900024,1013.969971,1049.51001,1049.51001,2988400
31-10-2018,1068.199951,1108,1068.199951,1090.579956,1090.579956,3545800
01-11-2018,1091.400024,1099.900024,1077.819946,1085.97998,1085.97998,2006600
02-11-2018,1089,1098,1067.660034,1071.48999,1071.48999,2171900
05-11-2018,1072.530029,1073.349976,1034,1055.72998,1055.72998,2267900
06-11-2018,1055.02002,1079.819946,1053.609985,1069.569946,1069.569946,1433000
07-11-2018,1083.48999,1109.930054,1080.589966,1108.23999,1108.23999,2169400
08-11-2018,1107.300049,1108.219971,1084.359985,1094.630005,1094.630005,1684700
09-11-2018,1084.02002,1088.349976,1064.26001,1077.02002,1077.02002,1743000
12-11-2018,1073.130005,1074.099976,1040.349976,1049.359985,1049.359985,1700100
13-11-2018,1054.810059,1066.670044,1040.400024,1047.969971,1047.969971,1287500
14-11-2018,1060,1065.790039,1041.109985,1054.579956,1054.579956,1733300
15-11-2018,1051.459961,1078.869995,1041.290039,1071.050049,1071.050049,2079200
16-11-2018,1065.22998,1072.439941,1054.900024,1068.27002,1068.27002,1768300
19-11-2018,1063.390015,1068,1022.869995,1027.420044,1027.420044,2284200
20-11-2018,1007.289978,1037.349976,1002.210022,1030.449951,1030.449951,2722900
21-11-2018,1045.310059,1054.709961,1039.459961,1043.430054,1043.430054,1484900
23-11-2018,1033.5,1043,1028.52002,1030.099976,1030.099976,708900
26-11-2018,1044,1057,1039.77002,1055.939941,1055.939941,1577900
27-11-2018,1051.339966,1066.76001,1045.5,1052.280029,1052.280029,1652400
28-11-2018,1057.459961,1092.859985,1042.949951,1091.790039,1091.790039,2302100
29-11-2018,1083.530029,1100.150024,1082,1094.579956,1094.579956,1550200
30-11-2018,1095.630005,1109.650024,1083.180054,1109.650024,1109.650024,2983400
03-12-2018,1132.160034,1135,1111.72998,1116.359985,1116.359985,2876600
04-12-2018,1112.98999,1114.23999,1060.780029,1062.469971,1062.469971,2281500
06-12-2018,1045,1079.420044,1042.47998,1078.079956,1078.079956,2371800
07-12-2018,1072.22998,1085.030029,1039.369995,1046.579956,1046.579956,2134100
10-12-2018,1042.939941,1059.599976,1033,1053.180054,1053.180054,1682600
11-12-2018,1066.939941,1070.400024,1050.099976,1061.650024,1061.650024,1692600
12-12-2018,1077.079956,1091.72998,1071.969971,1073.72998,1073.72998,1448000
13-12-2018,1075.670044,1088.420044,1064.98999,1073.540039,1073.540039,1249300
14-12-2018,1060.02002,1071.719971,1049.369995,1051.709961,1051.709961,1817900
17-12-2018,1047.01001,1062.380005,1016.630005,1025.650024,1025.650024,2496600
18-12-2018,1034,1059.689941,1030.47998,1043.410034,1043.410034,2182000
19-12-2018,1047.290039,1075.709961,1019.429993,1035.459961,1035.459961,2913200
20-12-2018,1026,1047.439941,1007.859985,1023.580017,1023.580017,2683700
21-12-2018,1032.040039,1037.670044,981.190002,991.25,991.25,5232800
24-12-2018,984.320007,1012.119995,977.659973,984.669983,984.669983,1818000
26-12-2018,997.98999,1048.449951,992.650024,1047.849976,1047.849976,2315900
27-12-2018,1026.199951,1053.339966,1007,1052.900024,1052.900024,2299800
28-12-2018,1059.5,1064.22998,1042,1046.680054,1046.680054,1719900
